id,name,Label,labels,entityType,brand,category,country,foundedYear,marketPositioning,price,releaseYear,weight,effectivePixels,ibisStops,afPoints,batteryShots,cardSlots,screenType,videoBitrate,mount,portabilityLevel,focalLength,maxAperture,lensType,coverage,stabilization,ecosystemNote,componentType,indexValue,description,minBudget,maxBudget,experience,mainUse,portabilityNeed,sourcePlatform,sourceRank,sourceTitle,sourceUrl,marketHotScore,marketNote,keyword,sku,title,shop,sold,soldScore,rank,url,capturedAt,cameraModel,lensModel,priceType,priceDate,condition,mediaScore,userScore,pros,cons,reviewDate,targetModel,platform
brand_om,OM System,Brand,Brand|Entity,Brand,,,日本,2021,轻量化M43户外生态系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_panasonic,松下,Brand,Brand|Entity,Brand,,,日本,1918,视频创作与M43/全画幅混合系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_ricoh,理光,Brand,Brand|Entity,Brand,,,日本,1936,街拍便携相机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand_sony,索尼,Brand,Brand|Entity,Brand,,,日本,1946,专业级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_500cm,500 C/M,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,39999,1970,1500,0,0,0,300,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,80,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_503cw,503CW,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,49999,1996,1600,0,0,0,300,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,79,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_907x100c,907X & CFV 100C,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,59999,2024,620,10000,0,294,420,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,88,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_907x50c,907X 50C,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,49999,2020,740,5000,0,117,420,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,89,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_a1,Alpha 1,CameraModel,CameraModel|Entity,CameraModel,索尼,全画幅微单,,,,47999,2021,737,5010,5.5,759,420,2,触控屏,200Mbps,全画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,91,索尼热门/代表型号，适合professional场景,,,,,,,,,,,,,,,,,,,,,
cam_a6400,Alpha 6400,CameraModel,CameraModel|Entity,CameraModel,索尼,APS-C画幅微单,,,,5999,2019,403,,,,,,,,,,,,,,,,,,,,,,,,市场补充,,索尼 Alpha 6400 APS-C 微单相机,https://www.sony.com.cn/,82,入门到进阶用户常见选择,,,,,,,,,,,,,,,,,,,,,
cam_a6700,Alpha 6700,CameraModel,CameraModel|Entity,CameraModel,,,,,,9999,2023,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_a7c,Alpha 7C,CameraModel,CameraModel|Entity,CameraModel,索尼,全画幅微单,,,,9999,2020,509,,,,,,,,,,,,,,,,,,,,,,,,市场补充,,索尼 Alpha 7C 轻便全画幅微单,https://www.sony.com.cn/,85,轻便全画幅老款，二手和促销市场常见,,,,,,,,,,,,,,,,,,,,,
cam_a7c2,Alpha 7C II,CameraModel,CameraModel|Entity,CameraModel,索尼,全画幅微单,,,,13999,2023,514,3300,7,759,560,1,侧翻触控屏,200Mbps,索尼E卡口,高,,,,,,,,,,,,,,,京东自营微单排行榜,4,索尼 Alpha 7C II 全画幅微单相机 AI智能芯片 4K视频,https://www.jd.com/phb/key_652c33b950d6af2d7e9.html,96,轻便全画幅机身，适合旅行、人像和视频创作,,,,,,,,,,,,,,,,,,,,,
cam_a7cr,Alpha 7CR,CameraModel,CameraModel|Entity,CameraModel,索尼,全画幅微单,,,,20999,2023,515,,,,,,,,,,,,,,,,,,,,,,,,市场补充,,索尼 Alpha 7CR 高像素轻便全画幅微单,https://www.sony.com.cn/,84,轻便高像素全画幅，适合旅行风光,,,,,,,,,,,,,,,,,,,,,
cam_a7m3,Alpha 7 III,CameraModel,CameraModel|Entity,CameraModel,,,,,,11999,2018,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_a7m4,Alpha 7 IV,CameraModel,CameraModel|Entity,CameraModel,,,,,,16999,2021,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_a7r5,Alpha 7R V,CameraModel,CameraModel|Entity,CameraModel,,,,,,25999,2022,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_a7s3,Alpha 7S III,CameraModel,CameraModel|Entity,CameraModel,索尼,全画幅微单,,,,23999,2020,699,1210,5.5,759,420,2,翻折触控屏,200Mbps,全画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,90,索尼热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_a9m3,Alpha 9 III,CameraModel,CameraModel|Entity,CameraModel,,,,,,44999,2024,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_action3,Osmo Action 3,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,1999,2022,145,1200,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,89,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_action4,Osmo Action 4,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,2499,2023,145,1200,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,90,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_action5pro,Osmo Action 5 Pro,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,2999,2024,146,4000,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,91,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_air3,Air 3,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,6988,2023,720,4800,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,84,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_air3s,Air 3S,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,6988,2024,724,5000,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,83,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_air_a01,Air A01,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,1999,2015,147,1600,0,81,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,79,OM System热门/代表型号，适合beginner场景,,,,,,,,,,,,,,,,,,,,,
cam_arcbody,ArcBody,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,59999,1997,1200,0,0,0,300,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,78,哈苏热门/代表型号，适合landscape场景,,,,,,,,,,,,,,,,,,,,,
cam_avata2,Avata 2,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,5988,2024,377,1200,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,80,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_cl,CL,CameraModel,CameraModel|Entity,CameraModel,徕卡,APS-C画幅微单,,,,14999,2017,403,2420,0,49,300,2,触控屏,,APS-C画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,84,徕卡热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
cam_dlux7,D-LUX 7,CameraModel,CameraModel|Entity,CameraModel,徕卡,便携固定镜头相机,,,,8999,2018,403,1700,0,49,300,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,82,徕卡热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
cam_dlux8,D-LUX 8,CameraModel,CameraModel|Entity,CameraModel,徕卡,便携固定镜头相机,,,,13000,2024,397,,,,,,,,,,,,,,,,,,,,,,,,京东登录态搜索页,,徕卡 D-LUX8 多功能便携式数码相机,https://item.jd.com/100118069914.html,80,高端便携固定镜头相机，适合旅行和街拍,,,,,,,,,,,,,,,,,,,,,
cam_em10m4,E-M10 Mark IV,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,4999,2020,383,2030,4.5,121,420,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,88,OM System热门/代表型号，适合beginner场景,,,,,,,,,,,,,,,,,,,,,
cam_em1m2,E-M1 Mark II,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,5999,2016,574,2040,5.5,121,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,82,OM System热门/代表型号，适合sports场景,,,,,,,,,,,,,,,,,,,,,
cam_em1m3,E-M1 Mark III,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,8999,2020,580,2040,7.5,121,420,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,91,OM System热门/代表型号，适合sports场景,,,,,,,,,,,,,,,,,,,,,
cam_em1x,E-M1X,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,12999,2019,997,2040,7.5,121,300,2,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,90,OM System热门/代表型号，适合sports场景,,,,,,,,,,,,,,,,,,,,,
cam_em5m2,E-M5 Mark II,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,3999,2015,469,1600,5,81,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,81,OM System热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
cam_em5m3,E-M5 Mark III,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,5999,2019,414,2040,5.5,121,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,89,OM System热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
cam_epl10,E-PL10,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,3999,2019,380,1600,3.5,121,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,86,OM System热门/代表型号，适合beginner场景,,,,,,,,,,,,,,,,,,,,,
cam_epl9,E-PL9,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,2999,2018,380,1600,3.5,121,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,80,OM System热门/代表型号，适合beginner场景,,,,,,,,,,,,,,,,,,,,,
cam_fx3,FX3,CameraModel,CameraModel|Entity,CameraModel,,,,,,26999,2021,715,1210,5.5,627,600,2,侧翻触控屏,600Mbps,索尼E卡口,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_g100d,Lumix G100D,CameraModel,CameraModel|Entity,CameraModel,松下,M43微单,,,,2798,2024,346,,,,,,,,,,,,,,,,,,,,,,,,京东登录态搜索页,,松下G100DK 微单套机12-32mm 4K视频 专业收音,https://item.jd.com/100083084229.html,88,入门Vlog和轻量旅行相机,,,,,,,,,,,,,,,,,,,,,
cam_g95,Lumix G95,CameraModel,CameraModel|Entity,CameraModel,松下,M43微单,,,,4999,2019,536,2030,5,49,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,83,松下热门/代表型号，适合beginner场景,,,,,,,,,,,,,,,,,,,,,
cam_g9m2,Lumix G9 II,CameraModel,CameraModel|Entity,CameraModel,松下,M43微单,,,,11999,2023,658,2520,8,779,420,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,86,松下热门/代表型号，适合sports场景,,,,,,,,,,,,,,,,,,,,,
cam_gfx100m2,GFX100 II,CameraModel,CameraModel|Entity,CameraModel,,,,,,53900,2023,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam_gfx100s,GFX100S,CameraModel,CameraModel|Entity,CameraModel,富士,中画幅微单,,,,39999,2021,900,10200,6,425,420,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,86,富士热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_gfx50s2,GFX 50S II,CameraModel,CameraModel|Entity,CameraModel,富士,中画幅微单,,,,24999,2021,900,5140,6.5,425,420,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,87,富士热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_gh5m2,Lumix GH5 II,CameraModel,CameraModel|Entity,CameraModel,松下,M43微单,,,,7999,2021,727,2030,6.5,225,420,1,翻折触控屏,200Mbps,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,84,松下热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_gh6,Lumix GH6,CameraModel,CameraModel|Entity,CameraModel,松下,M43微单,,,,9999,2022,823,2520,7.5,315,420,1,翻折触控屏,200Mbps,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,85,松下热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_gh7,Lumix GH7,CameraModel,CameraModel|Entity,CameraModel,松下,M43微单,,,,14999,2024,805,2520,7.5,779,380,2,侧翻触控屏,800Mbps,松下M43卡口,中,,,,,,,,,,,,,,,市场补充,,松下 Lumix GH7 M43视频旗舰,https://www.panasonic.cn/,82,M43视频旗舰，适合专业视频创作,,,,,,,,,,,,,,,,,,,,,
cam_gr,GR,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,2999,2013,245,1620,0,0,300,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,86,理光热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_gr2,GR II,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,3999,2015,251,1620,0,0,300,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,91,理光热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_gr3,GR III,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,6999,2019,257,2420,3,0,200,1,固定触控屏,,固定镜头,极高,,,,,,,,,,,,,,,市场补充,,理光 GR III 街拍相机,https://www.ricoh-imaging.com/,89,街拍经典机型，小巧高画质,,,,,,,,,,,,,,,,,,,,,
cam_gr3street,GR III Street Edition,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,7999,2020,257,2420,3,0,420,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,88,理光热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_gr3x,GR IIIx,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,7499,2021,262,,,,,,,,,,,,,,,,,,,,,,,,市场补充,,理光 GR IIIx 街拍相机,https://www.ricoh-imaging.com/,86,40mm视角街拍便携机,,,,,,,,,,,,,,,,,,,,,
cam_gr3xhdf,GR IIIx HDF,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,8499,2024,262,2420,3,0,420,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,89,理光热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_gr3xurban,GR IIIx Urban Edition,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,8499,2022,262,2420,3,0,420,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,87,理光热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_griiihdf,GR III HDF,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,7999,2024,257,2420,3,0,420,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,90,理光热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_gx9,Lumix GX9,CameraModel,CameraModel|Entity,CameraModel,松下,M43微单,,,,3999,2018,450,2030,4,49,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,82,松下热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_gxr,GXR,CameraModel,CameraModel|Entity,CameraModel,理光,便携固定镜头相机,,,,1999,2009,370,1200,0,0,300,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,85,理光热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_h4d40,H4D-40,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,59999,2010,2290,4000,0,0,300,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,84,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_h5d50c,H5D-50c,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,99999,2014,2290,5000,0,0,300,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,85,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_h6d100c,H6D-100c,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,239999,2016,2130,10000,0,0,300,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,87,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_h6d50c,H6D-50c,CameraModel,CameraModel|Entity,CameraModel,哈苏,中画幅微单,,,,159999,2016,2130,5000,0,0,300,2,触控屏,,中画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,86,哈苏热门/代表型号，适合studio场景,,,,,,,,,,,,,,,,,,,,,
cam_hv,HV,CameraModel,CameraModel|Entity,CameraModel,哈苏,全画幅微单,,,,59999,2014,733,2430,0,25,300,2,触控屏,,全画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,81,哈苏热门/代表型号，适合portrait场景,,,,,,,,,,,,,,,,,,,,,
cam_inspire3,Inspire 3,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,79888,2023,3995,8000,0,0,420,2,触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,79,大疆热门/代表型号，适合professional场景,,,,,,,,,,,,,,,,,,,,,
cam_lunar,Lunar,CameraModel,CameraModel|Entity,CameraModel,哈苏,APS-C画幅微单,,,,29999,2013,411,2430,0,25,300,2,触控屏,,APS-C画幅微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,83,哈苏热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
cam_lx100m2,Lumix LX100 II,CameraModel,CameraModel|Entity,CameraModel,松下,便携固定镜头相机,,,,5999,2018,392,1700,0,49,300,1,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,81,松下热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_m10r,M10-R,CameraModel,CameraModel|Entity,CameraModel,徕卡,便携固定镜头相机,,,,52000,2020,660,4000,0,0,420,2,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,79,徕卡热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_m11,M11,CameraModel,CameraModel|Entity,CameraModel,徕卡,便携固定镜头相机,,,,68000,2022,530,6030,0,0,420,2,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,91,徕卡热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_m11m,M11 Monochrom,CameraModel,CameraModel|Entity,CameraModel,徕卡,便携固定镜头相机,,,,78000,2023,540,6030,0,0,420,2,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,89,徕卡热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_m11p,M11-P,CameraModel,CameraModel|Entity,CameraModel,徕卡,便携固定镜头相机,,,,72000,2023,530,6030,0,0,420,2,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,90,徕卡热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_mavic3classic,Mavic 3 Classic,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,9288,2022,895,2000,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,85,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_mavic3pro,Mavic 3 Pro,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,13888,2023,958,2000,0,0,420,2,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,86,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_mini3pro,Mini 3 Pro,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,3988,2022,249,4800,0,0,420,1,触控屏,,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,81,大疆热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
cam_mini4pro,Mini 4 Pro,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,4788,2023,249,4800,0,0,420,1,触控屏,,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,82,大疆热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
cam_om1,OM-1,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,12999,2022,599,2040,8,1053,420,2,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,83,OM System热门/代表型号，适合sports场景,,,,,,,,,,,,,,,,,,,,,
cam_om1m2,OM-1 Mark II,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,16999,2024,599,,,,,,,,,,,,,,,,,,,,,,,,市场补充,,OM System OM-1 Mark II M43旗舰,https://explore.omsystem.com/,80,高速连拍、防护和生态拍摄,,,,,,,,,,,,,,,,,,,,,
cam_om5,OM-5,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,7999,2022,414,,,,,,,,,,,,,,,,,,,,,,,,市场补充,,OM System OM-5 M43微单,https://explore.omsystem.com/,78,轻量户外旅行与生态题材,,,,,,,,,,,,,,,,,,,,,
cam_osmo_action,Osmo Action,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,1299,2019,134,1200,0,0,300,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,87,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_penf,PEN-F,CameraModel,CameraModel|Entity,CameraModel,OM System,M43微单,,,,7999,2016,427,2030,5,81,300,1,触控屏,,M43微单,,,,,,,,,,,,,,,,品牌型号扩容,,,,87,OM System热门/代表型号，适合street场景,,,,,,,,,,,,,,,,,,,,,
cam_pocket2,Osmo Pocket 2,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,2499,2020,117,6400,0,0,420,1,翻折触控屏,200Mbps,Vlog便携相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,88,大疆热门/代表型号，适合video场景,,,,,,,,,,,,,,,,,,,,,
cam_pocket3,Osmo Pocket 3,CameraModel,CameraModel|Entity,CameraModel,大疆,Vlog便携相机,,,,3499,2023,179,940,0,0,166,1,旋转触控屏,130Mbps,固定镜头云台,极高,,,,,,,,,,,,,,,市场补充,,大疆 Osmo Pocket 3 便携云台相机,https://www.dji.com/cn/osmo-pocket-3,94,口袋云台相机，适合Vlog、直播和旅行记录,,,,,,,,,,,,,,,,,,,,,
cam_q2,Q2,CameraModel,CameraModel|Entity,CameraModel,徕卡,便携固定镜头相机,,,,33900,2019,734,4730,0,225,300,2,触控屏,,便携固定镜头相机,,,,,,,,,,,,,,,,品牌型号扩容,,,,88,徕卡热门/代表型号，适合travel场景,,,,,,,,,,,,,,,,,,,,,
