edge_id,from_id,from_name,from_label,to_id,to_name,to_label,type,score,note,properties_json
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847227,cam_907x50c,907X 50C,CameraModel,brand_hasselblad,哈苏,Brand,PRODUCED_BY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613883,cam_907x50c,907X 50C,CameraModel,use_studio,商业棚拍,UseCase,SUITABLE_FOR,94,按品牌代表型号补充的用途关系,"{""note"": ""按品牌代表型号补充的用途关系"", ""score"": 94}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102704,cam_a1,Alpha 1,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919781926966395162,cam_a1,Alpha 1,CameraModel,lens_s200600,FE 200-600mm F5.6-6.3 G OSS,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241584,cam_a1,Alpha 1,CameraModel,reason_fast,高速连拍,Reason,HAS_REASON,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869360,cam_a1,Alpha 1,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847152,cam_a1,Alpha 1,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613808,cam_a1,Alpha 1,CameraModel,use_professional,商业专业拍摄,UseCase,SUITABLE_FOR,96,按品牌代表型号补充的用途关系,"{""note"": ""按品牌代表型号补充的用途关系"", ""score"": 96}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102599,cam_a6400,Alpha 6400,CameraModel,cat_apsc,APS-C画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474823,cam_a6400,Alpha 6400,CameraModel,lens_s1650p,E PZ 16-50mm F3.5-5.6 OSS,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160071,cam_a6400,Alpha 6400,CameraModel,lens_s18135,E 18-135mm F3.5-5.6 OSS,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6922040323849846853,cam_a6400,Alpha 6400,CameraModel,reason_low_cost,预算友好,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919789623547789372,cam_a6400,Alpha 6400,CameraModel,band_entry,入门预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847047,cam_a6400,Alpha 6400,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613703,cam_a6400,Alpha 6400,CameraModel,use_beginner,入门学习,UseCase,SUITABLE_FOR,84,对焦强，入门进阶皆可,"{""note"": ""对焦强，入门进阶皆可"", ""score"": 84}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155179901490298951,cam_a6400,Alpha 6400,CameraModel,use_travel,旅行随拍,UseCase,SUITABLE_FOR,82,机身轻便,"{""note"": ""机身轻便"", ""score"": 82}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102539,cam_a6700,Alpha 6700,CameraModel,cat_apsc,APS-C画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474763,cam_a6700,Alpha 6700,CameraModel,lens_s2470,FE 24-70mm F2.8 GM II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1157426203745845259,cam_a6700,Alpha 6700,CameraModel,lens_s50,FE 50mm F1.2 GM,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160011,cam_a6700,Alpha 6700,CameraModel,lens_s70200,FE 70-200mm F2.8 GM OSS II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241419,cam_a6700,Alpha 6700,CameraModel,reason_light,轻便机身,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869195,cam_a6700,Alpha 6700,CameraModel,band_mid,中端预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606846987,cam_a6700,Alpha 6700,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613643,cam_a6700,Alpha 6700,CameraModel,use_travel,旅行随拍,UseCase,SUITABLE_FOR,88,轻便APS-C机身，兼顾照片和视频,"{""note"": ""轻便APS-C机身，兼顾照片和视频"", ""score"": 88}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102610,cam_a7c,Alpha 7C,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160082,cam_a7c,Alpha 7C,CameraModel,lens_s24105,FE 24-105mm F4 G OSS,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474834,cam_a7c,Alpha 7C,CameraModel,lens_s2860,FE 28-60mm F4-5.6,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1157426203745845330,cam_a7c,Alpha 7C,CameraModel,lens_s35f18,FE 35mm F1.8,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1159678003559530578,cam_a7c,Alpha 7C,CameraModel,lens_s85f18,FE 85mm F1.8,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6926543923477217344,cam_a7c,Alpha 7C,CameraModel,reason_light,轻便机身,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6937804022057271357,cam_a7c,Alpha 7C,CameraModel,band_mid,中端预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847058,cam_a7c,Alpha 7C,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613714,cam_a7c,Alpha 7C,CameraModel,use_travel,旅行随拍,UseCase,SUITABLE_FOR,88,轻便全画幅老款,"{""note"": ""轻便全画幅老款"", ""score"": 88}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102769,cam_a7c2,Alpha 7C II,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919781926966395160,cam_a7c2,Alpha 7C II,CameraModel,lens_s20f18g,FE 20mm F1.8 G,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160241,cam_a7c2,Alpha 7C II,CameraModel,lens_s24105,FE 24-105mm F4 G OSS,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1157426203745845489,cam_a7c2,Alpha 7C II,CameraModel,lens_s2470,FE 24-70mm F2.8 GM II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474993,cam_a7c2,Alpha 7C II,CameraModel,lens_s2860,FE 28-60mm F4-5.6,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919781926966395157,cam_a7c2,Alpha 7C II,CameraModel,lens_s35f18,FE 35mm F1.8,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919781926966395159,cam_a7c2,Alpha 7C II,CameraModel,lens_s55f18,Sonnar T* FE 55mm F1.8 ZA,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919781926966395158,cam_a7c2,Alpha 7C II,CameraModel,lens_s85f18,FE 85mm F1.8,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6922040323849846849,cam_a7c2,Alpha 7C II,CameraModel,reason_full_frame,全画幅画质,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919788524036161600,cam_a7c2,Alpha 7C II,CameraModel,reason_light,轻便机身,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6922040323849846850,cam_a7c2,Alpha 7C II,CameraModel,reason_video,视频规格突出,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6931048622616215614,cam_a7c2,Alpha 7C II,CameraModel,band_high,高端预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847217,cam_a7c2,Alpha 7C II,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917535624710848657,cam_a7c2,Alpha 7C II,CameraModel,use_landscape,风光摄影,UseCase,SUITABLE_FOR,84,轻便高像素全画幅，适合旅行风光,"{""note"": ""轻便高像素全画幅，适合旅行风光"", ""score"": 84}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155179901490299121,cam_a7c2,Alpha 7C II,CameraModel,use_portrait,人像摄影,UseCase,SUITABLE_FOR,90,全画幅画质和对焦适合人像,"{""note"": ""全画幅画质和对焦适合人像"", ""score"": 90}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917535624710848659,cam_a7c2,Alpha 7C II,CameraModel,use_street,街拍扫街,UseCase,SUITABLE_FOR,90,轻便全画幅适合扫街,"{""note"": ""轻便全画幅适合扫街"", ""score"": 90}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613873,cam_a7c2,Alpha 7C II,CameraModel,use_travel,旅行随拍,UseCase,SUITABLE_FOR,96,轻便全画幅，适合旅行随拍,"{""note"": ""轻便全画幅，适合旅行随拍"", ""score"": 96}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919787424524533816,cam_a7c2,Alpha 7C II,CameraModel,use_video,视频创作,UseCase,SUITABLE_FOR,88,支持4K视频和轻便创作,"{""note"": ""支持4K视频和轻便创作"", ""score"": 88}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102600,cam_a7cr,Alpha 7CR,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160072,cam_a7cr,Alpha 7CR,CameraModel,lens_s24105,FE 24-105mm F4 G OSS,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474824,cam_a7cr,Alpha 7CR,CameraModel,lens_s2860,FE 28-60mm F4-5.6,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6924292123663532097,cam_a7cr,Alpha 7CR,CameraModel,reason_full_frame,全画幅画质,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6933300422429900863,cam_a7cr,Alpha 7CR,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847048,cam_a7cr,Alpha 7CR,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155179901490298952,cam_a7cr,Alpha 7CR,CameraModel,use_professional,商业专业拍摄,UseCase,SUITABLE_FOR,86,高像素适合商业风光,"{""note"": ""高像素适合商业风光"", ""score"": 86}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613704,cam_a7cr,Alpha 7CR,CameraModel,use_travel,旅行随拍,UseCase,SUITABLE_FOR,88,轻便高像素,"{""note"": ""轻便高像素"", ""score"": 88}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102536,cam_a7m3,Alpha 7 III,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474760,cam_a7m3,Alpha 7 III,CameraModel,lens_s2470,FE 24-70mm F2.8 GM II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1157426203745845256,cam_a7m3,Alpha 7 III,CameraModel,lens_s50,FE 50mm F1.2 GM,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160008,cam_a7m3,Alpha 7 III,CameraModel,lens_s70200,FE 70-200mm F2.8 GM OSS II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869192,cam_a7m3,Alpha 7 III,CameraModel,band_mid,中端预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606846984,cam_a7m3,Alpha 7 III,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155177702467043335,cam_a7m4,Alpha 7 IV,CameraModel,index_10fps,10fps 连拍速度,ParameterIndex,ACHIEVES_INDEX,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152925902653358087,cam_a7m4,Alpha 7 IV,CameraModel,index_4k60p,4K 60p 视频规格,ParameterIndex,ACHIEVES_INDEX,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102535,cam_a7m4,Alpha 7 IV,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917530127152709913,cam_a7m4,Alpha 7 IV,CameraModel,lens_s1224f4,FE 12-24mm F4 G,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917530127152709912,cam_a7m4,Alpha 7 IV,CameraModel,lens_s20f18g,FE 20mm F1.8 G,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474759,cam_a7m4,Alpha 7 IV,CameraModel,lens_s2470,FE 24-70mm F2.8 GM II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917530127152709909,cam_a7m4,Alpha 7 IV,CameraModel,lens_s35f18,FE 35mm F1.8,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1157426203745845255,cam_a7m4,Alpha 7 IV,CameraModel,lens_s50,FE 50mm F1.2 GM,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917530127152709911,cam_a7m4,Alpha 7 IV,CameraModel,lens_s55f18,Sonnar T* FE 55mm F1.8 ZA,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160007,cam_a7m4,Alpha 7 IV,CameraModel,lens_s70200,FE 70-200mm F2.8 GM OSS II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917530127152709910,cam_a7m4,Alpha 7 IV,CameraModel,lens_s85f18,FE 85mm F1.8,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152924803141730311,cam_a7m4,Alpha 7 IV,CameraModel,comp_bionz_xr,BIONZ XR,Component,EQUIPPED_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155176602955415559,cam_a7m4,Alpha 7 IV,CameraModel,comp_exmor_r,Exmor R CMOS,Component,EQUIPPED_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917536724222476353,cam_a7m4,Alpha 7 IV,CameraModel,reason_full_frame,全画幅画质,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6919788524036161604,cam_a7m4,Alpha 7 IV,CameraModel,reason_lens_ecosystem,镜头生态完善,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917536724222476354,cam_a7m4,Alpha 7 IV,CameraModel,reason_video,视频规格突出,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917537823734104126,cam_a7m4,Alpha 7 IV,CameraModel,band_high,高端预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606846983,cam_a7m4,Alpha 7 IV,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152927002164985863,cam_a7m4,Alpha 7 IV,CameraModel,cam_a7m3,Alpha 7 III,CameraModel,SUCCESSOR_OF,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613639,cam_a7m4,Alpha 7 IV,CameraModel,use_portrait,人像摄影,UseCase,SUITABLE_FOR,88,全画幅均衡机型，镜头生态完整,"{""note"": ""全画幅均衡机型，镜头生态完整"", ""score"": 88}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917535624710848568,cam_a7m4,Alpha 7 IV,CameraModel,use_video,视频创作,UseCase,SUITABLE_FOR,90,支持4K60p，视频和照片能力均衡,"{""note"": ""支持4K60p，视频和照片能力均衡"", ""score"": 90}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102537,cam_a7r5,Alpha 7R V,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1159678003559530505,cam_a7r5,Alpha 7R V,CameraModel,lens_s1224f4,FE 12-24mm F4 G,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474761,cam_a7r5,Alpha 7R V,CameraModel,lens_s2470,FE 24-70mm F2.8 GM II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1157426203745845257,cam_a7r5,Alpha 7R V,CameraModel,lens_s50,FE 50mm F1.2 GM,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160009,cam_a7r5,Alpha 7R V,CameraModel,lens_s70200,FE 70-200mm F2.8 GM OSS II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152924803141730313,cam_a7r5,Alpha 7R V,CameraModel,comp_bionz_xr,BIONZ XR,Component,EQUIPPED_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869193,cam_a7r5,Alpha 7R V,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606846985,cam_a7r5,Alpha 7R V,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102705,cam_a7s3,Alpha 7S III,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241585,cam_a7s3,Alpha 7S III,CameraModel,reason_video,视频规格突出,Reason,HAS_REASON,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152930300699869361,cam_a7s3,Alpha 7S III,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606847153,cam_a7s3,Alpha 7S III,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613809,cam_a7s3,Alpha 7S III,CameraModel,use_video,视频创作,UseCase,SUITABLE_FOR,95,按品牌代表型号补充的用途关系,"{""note"": ""按品牌代表型号补充的用途关系"", ""score"": 95}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152925902653358090,cam_a9m3,Alpha 9 III,CameraModel,index_120fps,120fps 连拍速度,ParameterIndex,ACHIEVES_INDEX,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102538,cam_a9m3,Alpha 9 III,CameraModel,cat_ff,全画幅微单,CameraCategory,BELONGS_TO_CATEGORY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917530127152709914,cam_a9m3,Alpha 9 III,CameraModel,lens_s200600,FE 200-600mm F5.6-6.3 G OSS,Lens,COMPATIBLE_WITH,,市场热销镜头适配,"{""note"": ""市场热销镜头适配""}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152922604118474762,cam_a9m3,Alpha 9 III,CameraModel,lens_s2470,FE 24-70mm F2.8 GM II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1157426203745845258,cam_a9m3,Alpha 9 III,CameraModel,lens_s50,FE 50mm F1.2 GM,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155174403932160010,cam_a9m3,Alpha 9 III,CameraModel,lens_s70200,FE 70-200mm F2.8 GM OSS II,Lens,COMPATIBLE_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152924803141730314,cam_a9m3,Alpha 9 III,CameraModel,comp_bionz_xr,BIONZ XR,Component,EQUIPPED_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1155176602955415562,cam_a9m3,Alpha 9 III,CameraModel,comp_exmor_rs,Exmor RS CMOS,Component,EQUIPPED_WITH,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917536724222476355,cam_a9m3,Alpha 9 III,CameraModel,reason_fast,高速连拍,Reason,HAS_REASON,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:6917537823734104127,cam_a9m3,Alpha 9 III,CameraModel,band_pro,专业预算,PriceBand,IN_PRICE_BAND,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152921504606846986,cam_a9m3,Alpha 9 III,CameraModel,brand_sony,索尼,Brand,PRODUCED_BY,,,{}
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152928101676613642,cam_a9m3,Alpha 9 III,CameraModel,use_sports,体育生态摄影,UseCase,SUITABLE_FOR,98,高速连拍指标突出，适合运动题材,"{""note"": ""高速连拍指标突出，适合运动题材"", ""score"": 98}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152923703630102793,cam_action3,Osmo Action 3,CameraModel,cat_vlog_compact,Vlog便携相机,CameraCategory,BELONGS_TO_CATEGORY,,,"{""note"": """"}"
5:adc014b7-d83e-4a65-a38e-67d729d41303:1152929201188241673,cam_action3,Osmo Action 3,CameraModel,reason_low_cost,预算友好,Reason,HAS_REASON,,,"{""note"": """"}"
