from_id,to_id,type,score,note
cam_z7,cat_ff,BELONGS_TO_CATEGORY,,
cam_z7,use_landscape,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_z7,reason_full_frame,HAS_REASON,,
cam_z6m2,brand_nikon,PRODUCED_BY,,
cam_z6m2,cat_ff,BELONGS_TO_CATEGORY,,
cam_z6m2,use_portrait,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_z6m2,reason_full_frame,HAS_REASON,,
cam_z6,brand_nikon,PRODUCED_BY,,
cam_z6,cat_ff,BELONGS_TO_CATEGORY,,
cam_z6,use_portrait,SUITABLE_FOR,90,按品牌代表型号补充的用途关系
cam_z6,reason_full_frame,HAS_REASON,,
cam_xh2,brand_fuji,PRODUCED_BY,,
cam_xh2,cat_apsc,BELONGS_TO_CATEGORY,,
cam_xh2,use_landscape,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_xh2,reason_video,HAS_REASON,,
cam_xpro3,brand_fuji,PRODUCED_BY,,
cam_xpro3,cat_apsc,BELONGS_TO_CATEGORY,,
cam_xpro3,use_street,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_xpro3,reason_light,HAS_REASON,,
cam_xt4,brand_fuji,PRODUCED_BY,,
cam_xt4,cat_apsc,BELONGS_TO_CATEGORY,,
cam_xt4,use_video,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_xt4,reason_video,HAS_REASON,,
cam_xt3,brand_fuji,PRODUCED_BY,,
cam_xt3,cat_apsc,BELONGS_TO_CATEGORY,,
cam_xt3,use_street,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_xt3,reason_low_cost,HAS_REASON,,
cam_gfx50s2,brand_fuji,PRODUCED_BY,,
cam_gfx50s2,cat_mf,BELONGS_TO_CATEGORY,,
cam_gfx50s2,use_studio,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_gfx50s2,reason_full_frame,HAS_REASON,,
cam_gfx100s,brand_fuji,PRODUCED_BY,,
cam_gfx100s,cat_mf,BELONGS_TO_CATEGORY,,
cam_gfx100s,use_studio,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_gfx100s,reason_full_frame,HAS_REASON,,
cam_s1,brand_panasonic,PRODUCED_BY,,
cam_s1,cat_ff,BELONGS_TO_CATEGORY,,
cam_s1,use_portrait,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_s1,reason_full_frame,HAS_REASON,,
cam_s1r,brand_panasonic,PRODUCED_BY,,
cam_s1r,cat_ff,BELONGS_TO_CATEGORY,,
cam_s1r,use_landscape,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_s1r,reason_full_frame,HAS_REASON,,
cam_s1h,brand_panasonic,PRODUCED_BY,,
cam_s1h,cat_ff,BELONGS_TO_CATEGORY,,
cam_s1h,use_video,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_s1h,reason_video,HAS_REASON,,
cam_s5,brand_panasonic,PRODUCED_BY,,
cam_s5,cat_ff,BELONGS_TO_CATEGORY,,
cam_s5,use_video,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_s5,reason_video,HAS_REASON,,
cam_s5m2x,brand_panasonic,PRODUCED_BY,,
cam_s5m2x,cat_ff,BELONGS_TO_CATEGORY,,
cam_s5m2x,use_video,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_s5m2x,reason_video,HAS_REASON,,
cam_g9m2,brand_panasonic,PRODUCED_BY,,
cam_g9m2,cat_m43,BELONGS_TO_CATEGORY,,
cam_g9m2,use_sports,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_g9m2,reason_fast,HAS_REASON,,
cam_gh6,brand_panasonic,PRODUCED_BY,,
cam_gh6,cat_m43,BELONGS_TO_CATEGORY,,
cam_gh6,use_video,SUITABLE_FOR,90,按品牌代表型号补充的用途关系
cam_gh6,reason_video,HAS_REASON,,
cam_gh5m2,brand_panasonic,PRODUCED_BY,,
cam_gh5m2,cat_m43,BELONGS_TO_CATEGORY,,
cam_gh5m2,use_video,SUITABLE_FOR,89,按品牌代表型号补充的用途关系
cam_gh5m2,reason_video,HAS_REASON,,
cam_g95,brand_panasonic,PRODUCED_BY,,
cam_g95,cat_m43,BELONGS_TO_CATEGORY,,
cam_g95,use_beginner,SUITABLE_FOR,88,按品牌代表型号补充的用途关系
cam_g95,reason_low_cost,HAS_REASON,,
cam_gx9,brand_panasonic,PRODUCED_BY,,
cam_gx9,cat_m43,BELONGS_TO_CATEGORY,,
cam_gx9,use_street,SUITABLE_FOR,87,按品牌代表型号补充的用途关系
cam_gx9,reason_light,HAS_REASON,,
cam_lx100m2,brand_panasonic,PRODUCED_BY,,
cam_lx100m2,cat_compact,BELONGS_TO_CATEGORY,,
cam_lx100m2,use_street,SUITABLE_FOR,86,按品牌代表型号补充的用途关系
cam_lx100m2,reason_light,HAS_REASON,,
cam_m11,brand_leica,PRODUCED_BY,,
cam_m11,cat_compact,BELONGS_TO_CATEGORY,,
cam_m11,use_street,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_m11,reason_full_frame,HAS_REASON,,
cam_m11p,brand_leica,PRODUCED_BY,,
cam_m11p,cat_compact,BELONGS_TO_CATEGORY,,
cam_m11p,use_street,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_m11p,reason_full_frame,HAS_REASON,,
cam_m11m,brand_leica,PRODUCED_BY,,
cam_m11m,cat_compact,BELONGS_TO_CATEGORY,,
cam_m11m,use_street,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_m11m,reason_full_frame,HAS_REASON,,
cam_q2,brand_leica,PRODUCED_BY,,
cam_q2,cat_compact,BELONGS_TO_CATEGORY,,
cam_q2,use_travel,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_q2,reason_full_frame,HAS_REASON,,
cam_sl2,brand_leica,PRODUCED_BY,,
cam_sl2,cat_ff,BELONGS_TO_CATEGORY,,
cam_sl2,use_studio,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_sl2,reason_full_frame,HAS_REASON,,
cam_sl2s,brand_leica,PRODUCED_BY,,
cam_sl2s,cat_ff,BELONGS_TO_CATEGORY,,
cam_sl2s,use_video,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_sl2s,reason_video,HAS_REASON,,
cam_sl3,brand_leica,PRODUCED_BY,,
cam_sl3,cat_ff,BELONGS_TO_CATEGORY,,
cam_sl3,use_landscape,SUITABLE_FOR,90,按品牌代表型号补充的用途关系
cam_sl3,reason_full_frame,HAS_REASON,,
cam_cl,brand_leica,PRODUCED_BY,,
cam_cl,cat_apsc,BELONGS_TO_CATEGORY,,
cam_cl,use_travel,SUITABLE_FOR,89,按品牌代表型号补充的用途关系
cam_cl,reason_light,HAS_REASON,,
cam_tl2,brand_leica,PRODUCED_BY,,
cam_tl2,cat_apsc,BELONGS_TO_CATEGORY,,
cam_tl2,use_street,SUITABLE_FOR,88,按品牌代表型号补充的用途关系
cam_tl2,reason_light,HAS_REASON,,
cam_dlux7,brand_leica,PRODUCED_BY,,
cam_dlux7,cat_compact,BELONGS_TO_CATEGORY,,
cam_dlux7,use_travel,SUITABLE_FOR,87,按品牌代表型号补充的用途关系
cam_dlux7,reason_light,HAS_REASON,,
cam_vlux5,brand_leica,PRODUCED_BY,,
cam_vlux5,cat_compact,BELONGS_TO_CATEGORY,,
cam_vlux5,use_travel,SUITABLE_FOR,86,按品牌代表型号补充的用途关系
cam_vlux5,reason_lens_ecosystem,HAS_REASON,,
cam_sofort2,brand_leica,PRODUCED_BY,,
cam_sofort2,cat_compact,BELONGS_TO_CATEGORY,,
cam_sofort2,use_beginner,SUITABLE_FOR,85,按品牌代表型号补充的用途关系
cam_sofort2,reason_light,HAS_REASON,,
cam_m10r,brand_leica,PRODUCED_BY,,
cam_m10r,cat_compact,BELONGS_TO_CATEGORY,,
cam_m10r,use_street,SUITABLE_FOR,84,按品牌代表型号补充的用途关系
cam_m10r,reason_full_frame,HAS_REASON,,
cam_em1m3,brand_om,PRODUCED_BY,,
cam_em1m3,cat_m43,BELONGS_TO_CATEGORY,,
cam_em1m3,use_sports,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_em1m3,reason_fast,HAS_REASON,,
cam_em1x,brand_om,PRODUCED_BY,,
cam_em1x,cat_m43,BELONGS_TO_CATEGORY,,
cam_em1x,use_sports,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_em1x,reason_fast,HAS_REASON,,
cam_em5m3,brand_om,PRODUCED_BY,,
cam_em5m3,cat_m43,BELONGS_TO_CATEGORY,,
cam_em5m3,use_travel,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_em5m3,reason_light,HAS_REASON,,
cam_em10m4,brand_om,PRODUCED_BY,,
cam_em10m4,cat_m43,BELONGS_TO_CATEGORY,,
cam_em10m4,use_beginner,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_em10m4,reason_light,HAS_REASON,,
cam_penf,brand_om,PRODUCED_BY,,
cam_penf,cat_m43,BELONGS_TO_CATEGORY,,
cam_penf,use_street,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_penf,reason_light,HAS_REASON,,
cam_epl10,brand_om,PRODUCED_BY,,
cam_epl10,cat_m43,BELONGS_TO_CATEGORY,,
cam_epl10,use_beginner,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_epl10,reason_low_cost,HAS_REASON,,
cam_tg7,brand_om,PRODUCED_BY,,
cam_tg7,cat_compact,BELONGS_TO_CATEGORY,,
cam_tg7,use_travel,SUITABLE_FOR,90,按品牌代表型号补充的用途关系
cam_tg7,reason_light,HAS_REASON,,
cam_tg6,brand_om,PRODUCED_BY,,
cam_tg6,cat_compact,BELONGS_TO_CATEGORY,,
cam_tg6,use_travel,SUITABLE_FOR,89,按品牌代表型号补充的用途关系
cam_tg6,reason_light,HAS_REASON,,
cam_om1,brand_om,PRODUCED_BY,,
cam_om1,cat_m43,BELONGS_TO_CATEGORY,,
cam_om1,use_sports,SUITABLE_FOR,88,按品牌代表型号补充的用途关系
cam_om1,reason_fast,HAS_REASON,,
cam_em1m2,brand_om,PRODUCED_BY,,
cam_em1m2,cat_m43,BELONGS_TO_CATEGORY,,
cam_em1m2,use_sports,SUITABLE_FOR,87,按品牌代表型号补充的用途关系
cam_em1m2,reason_fast,HAS_REASON,,
cam_em5m2,brand_om,PRODUCED_BY,,
cam_em5m2,cat_m43,BELONGS_TO_CATEGORY,,
cam_em5m2,use_travel,SUITABLE_FOR,86,按品牌代表型号补充的用途关系
cam_em5m2,reason_light,HAS_REASON,,
cam_epl9,brand_om,PRODUCED_BY,,
cam_epl9,cat_m43,BELONGS_TO_CATEGORY,,
cam_epl9,use_beginner,SUITABLE_FOR,85,按品牌代表型号补充的用途关系
cam_epl9,reason_low_cost,HAS_REASON,,
cam_air_a01,brand_om,PRODUCED_BY,,
cam_air_a01,cat_m43,BELONGS_TO_CATEGORY,,
cam_air_a01,use_beginner,SUITABLE_FOR,84,按品牌代表型号补充的用途关系
cam_air_a01,reason_light,HAS_REASON,,
cam_gr2,brand_ricoh,PRODUCED_BY,,
cam_gr2,cat_compact,BELONGS_TO_CATEGORY,,
cam_gr2,use_street,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_gr2,reason_light,HAS_REASON,,
cam_griiihdf,brand_ricoh,PRODUCED_BY,,
cam_griiihdf,cat_compact,BELONGS_TO_CATEGORY,,
cam_griiihdf,use_street,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_griiihdf,reason_light,HAS_REASON,,
cam_gr3xhdf,brand_ricoh,PRODUCED_BY,,
cam_gr3xhdf,cat_compact,BELONGS_TO_CATEGORY,,
cam_gr3xhdf,use_street,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_gr3xhdf,reason_light,HAS_REASON,,
cam_gr3street,brand_ricoh,PRODUCED_BY,,
cam_gr3street,cat_compact,BELONGS_TO_CATEGORY,,
cam_gr3street,use_street,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_gr3street,reason_light,HAS_REASON,,
cam_gr3xurban,brand_ricoh,PRODUCED_BY,,
cam_gr3xurban,cat_compact,BELONGS_TO_CATEGORY,,
cam_gr3xurban,use_street,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_gr3xurban,reason_light,HAS_REASON,,
cam_gr,brand_ricoh,PRODUCED_BY,,
cam_gr,cat_compact,BELONGS_TO_CATEGORY,,
cam_gr,use_street,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_gr,reason_light,HAS_REASON,,
cam_gxr,brand_ricoh,PRODUCED_BY,,
cam_gxr,cat_compact,BELONGS_TO_CATEGORY,,
cam_gxr,use_street,SUITABLE_FOR,90,按品牌代表型号补充的用途关系
cam_gxr,reason_light,HAS_REASON,,
cam_wg8,brand_ricoh,PRODUCED_BY,,
cam_wg8,cat_compact,BELONGS_TO_CATEGORY,,
cam_wg8,use_travel,SUITABLE_FOR,89,按品牌代表型号补充的用途关系
cam_wg8,reason_light,HAS_REASON,,
cam_wg7,brand_ricoh,PRODUCED_BY,,
cam_wg7,cat_compact,BELONGS_TO_CATEGORY,,
cam_wg7,use_travel,SUITABLE_FOR,88,按品牌代表型号补充的用途关系
cam_wg7,reason_light,HAS_REASON,,
cam_wg6,brand_ricoh,PRODUCED_BY,,
cam_wg6,cat_compact,BELONGS_TO_CATEGORY,,
cam_wg6,use_travel,SUITABLE_FOR,87,按品牌代表型号补充的用途关系
cam_wg6,reason_light,HAS_REASON,,
cam_theta_z1,brand_ricoh,PRODUCED_BY,,
cam_theta_z1,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_theta_z1,use_video,SUITABLE_FOR,86,按品牌代表型号补充的用途关系
cam_theta_z1,reason_light,HAS_REASON,,
cam_theta_x,brand_ricoh,PRODUCED_BY,,
cam_theta_x,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_theta_x,use_video,SUITABLE_FOR,85,按品牌代表型号补充的用途关系
cam_theta_x,reason_light,HAS_REASON,,
cam_theta_sc2,brand_ricoh,PRODUCED_BY,,
cam_theta_sc2,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_theta_sc2,use_video,SUITABLE_FOR,84,按品牌代表型号补充的用途关系
cam_theta_sc2,reason_low_cost,HAS_REASON,,
cam_x1d,brand_hasselblad,PRODUCED_BY,,
cam_x1d,cat_mf,BELONGS_TO_CATEGORY,,
cam_x1d,use_studio,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_x1d,reason_full_frame,HAS_REASON,,
cam_x1d2,brand_hasselblad,PRODUCED_BY,,
cam_x1d2,cat_mf,BELONGS_TO_CATEGORY,,
cam_x1d2,use_studio,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_x1d2,reason_full_frame,HAS_REASON,,
cam_907x50c,brand_hasselblad,PRODUCED_BY,,
cam_907x50c,cat_mf,BELONGS_TO_CATEGORY,,
cam_907x50c,use_studio,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_907x50c,reason_full_frame,HAS_REASON,,
cam_907x100c,brand_hasselblad,PRODUCED_BY,,
cam_907x100c,cat_mf,BELONGS_TO_CATEGORY,,
cam_907x100c,use_studio,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_907x100c,reason_full_frame,HAS_REASON,,
cam_h6d100c,brand_hasselblad,PRODUCED_BY,,
cam_h6d100c,cat_mf,BELONGS_TO_CATEGORY,,
cam_h6d100c,use_studio,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_h6d100c,reason_full_frame,HAS_REASON,,
cam_h6d50c,brand_hasselblad,PRODUCED_BY,,
cam_h6d50c,cat_mf,BELONGS_TO_CATEGORY,,
cam_h6d50c,use_studio,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_h6d50c,reason_full_frame,HAS_REASON,,
cam_h5d50c,brand_hasselblad,PRODUCED_BY,,
cam_h5d50c,cat_mf,BELONGS_TO_CATEGORY,,
cam_h5d50c,use_studio,SUITABLE_FOR,90,按品牌代表型号补充的用途关系
cam_h5d50c,reason_full_frame,HAS_REASON,,
cam_h4d40,brand_hasselblad,PRODUCED_BY,,
cam_h4d40,cat_mf,BELONGS_TO_CATEGORY,,
cam_h4d40,use_studio,SUITABLE_FOR,89,按品牌代表型号补充的用途关系
cam_h4d40,reason_full_frame,HAS_REASON,,
cam_lunar,brand_hasselblad,PRODUCED_BY,,
cam_lunar,cat_apsc,BELONGS_TO_CATEGORY,,
cam_lunar,use_travel,SUITABLE_FOR,88,按品牌代表型号补充的用途关系
cam_lunar,reason_light,HAS_REASON,,
cam_stellar,brand_hasselblad,PRODUCED_BY,,
cam_stellar,cat_compact,BELONGS_TO_CATEGORY,,
cam_stellar,use_travel,SUITABLE_FOR,87,按品牌代表型号补充的用途关系
cam_stellar,reason_light,HAS_REASON,,
cam_hv,brand_hasselblad,PRODUCED_BY,,
cam_hv,cat_ff,BELONGS_TO_CATEGORY,,
cam_hv,use_portrait,SUITABLE_FOR,86,按品牌代表型号补充的用途关系
cam_hv,reason_full_frame,HAS_REASON,,
cam_500cm,brand_hasselblad,PRODUCED_BY,,
cam_500cm,cat_mf,BELONGS_TO_CATEGORY,,
cam_500cm,use_studio,SUITABLE_FOR,85,按品牌代表型号补充的用途关系
cam_500cm,reason_full_frame,HAS_REASON,,
cam_503cw,brand_hasselblad,PRODUCED_BY,,
cam_503cw,cat_mf,BELONGS_TO_CATEGORY,,
cam_503cw,use_studio,SUITABLE_FOR,84,按品牌代表型号补充的用途关系
cam_503cw,reason_full_frame,HAS_REASON,,
cam_arcbody,brand_hasselblad,PRODUCED_BY,,
cam_arcbody,cat_mf,BELONGS_TO_CATEGORY,,
cam_arcbody,use_landscape,SUITABLE_FOR,83,按品牌代表型号补充的用途关系
cam_arcbody,reason_full_frame,HAS_REASON,,
cam_action5pro,brand_dji,PRODUCED_BY,,
cam_action5pro,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_action5pro,use_video,SUITABLE_FOR,96,按品牌代表型号补充的用途关系
cam_action5pro,reason_light,HAS_REASON,,
cam_action4,brand_dji,PRODUCED_BY,,
cam_action4,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_action4,use_video,SUITABLE_FOR,95,按品牌代表型号补充的用途关系
cam_action4,reason_light,HAS_REASON,,
cam_action3,brand_dji,PRODUCED_BY,,
cam_action3,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_action3,use_video,SUITABLE_FOR,94,按品牌代表型号补充的用途关系
cam_action3,reason_low_cost,HAS_REASON,,
cam_pocket2,brand_dji,PRODUCED_BY,,
cam_pocket2,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_pocket2,use_video,SUITABLE_FOR,93,按品牌代表型号补充的用途关系
cam_pocket2,reason_light,HAS_REASON,,
cam_osmo_action,brand_dji,PRODUCED_BY,,
cam_osmo_action,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_osmo_action,use_video,SUITABLE_FOR,92,按品牌代表型号补充的用途关系
cam_osmo_action,reason_low_cost,HAS_REASON,,
cam_mavic3pro,brand_dji,PRODUCED_BY,,
cam_mavic3pro,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_mavic3pro,use_video,SUITABLE_FOR,91,按品牌代表型号补充的用途关系
cam_mavic3pro,reason_video,HAS_REASON,,
cam_mavic3classic,brand_dji,PRODUCED_BY,,
cam_mavic3classic,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_mavic3classic,use_video,SUITABLE_FOR,90,按品牌代表型号补充的用途关系
cam_mavic3classic,reason_video,HAS_REASON,,
cam_air3,brand_dji,PRODUCED_BY,,
cam_air3,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_air3,use_video,SUITABLE_FOR,89,按品牌代表型号补充的用途关系
cam_air3,reason_video,HAS_REASON,,
cam_air3s,brand_dji,PRODUCED_BY,,
cam_air3s,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_air3s,use_video,SUITABLE_FOR,88,按品牌代表型号补充的用途关系
cam_air3s,reason_video,HAS_REASON,,
cam_mini4pro,brand_dji,PRODUCED_BY,,
cam_mini4pro,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_mini4pro,use_travel,SUITABLE_FOR,87,按品牌代表型号补充的用途关系
cam_mini4pro,reason_light,HAS_REASON,,
cam_mini3pro,brand_dji,PRODUCED_BY,,
cam_mini3pro,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_mini3pro,use_travel,SUITABLE_FOR,86,按品牌代表型号补充的用途关系
cam_mini3pro,reason_light,HAS_REASON,,
cam_avata2,brand_dji,PRODUCED_BY,,
cam_avata2,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_avata2,use_video,SUITABLE_FOR,85,按品牌代表型号补充的用途关系
cam_avata2,reason_video,HAS_REASON,,
cam_inspire3,brand_dji,PRODUCED_BY,,
cam_inspire3,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_inspire3,use_professional,SUITABLE_FOR,84,按品牌代表型号补充的用途关系
cam_inspire3,reason_video,HAS_REASON,,
cam_rs3pro,brand_dji,PRODUCED_BY,,
cam_rs3pro,cat_vlog_compact,BELONGS_TO_CATEGORY,,
cam_rs3pro,use_professional,SUITABLE_FOR,83,按品牌代表型号补充的用途关系
cam_rs3pro,reason_video,HAS_REASON,,
