id,name,Label,platform,keyword,sku,title,price,shop,sold,soldScore,rank,url,capturedAt,cameraModel,lensModel
offer_jd_10054809857901,索尼（SONY）ZV-E10K APS-C半画微单 ZV-E10 vlog直播4K视频侧翻式ZV-E10L/zv-e10/ZV-E10K 黑色单机 官方标配（不,ProductOffer,京东,微单相机,10054809857901,索尼（SONY）ZV-E10K APS-C半画微单 ZV-E10 vlog直播4K视频侧翻式ZV-E10L/zv-e10/ZV-E10K 黑色单机 官方标配（不含内存卡）,3130.2,索尼（SONY）数码相机旗舰店,已售2万+,20000,,https://item.jd.com/10054809857901.html,2026-06-06T07:20:34.773Z,ZV-E10,
offer_jd_10202282356481,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 精准对焦 VLOG APS-C画幅 索尼zve10/ZV-10 创意滤镜 E10K白色 套机 官方标配,ProductOffer,京东,微单相机,10202282356481,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 精准对焦 VLOG APS-C画幅 索尼zve10/ZV-10 创意滤镜 E10K白色 套机 官方标配,3446.1,SONY数码专卖店,已售1000+,1000,,https://item.jd.com/10202282356481.html,2026-06-06T07:20:34.773Z,ZV-E10,
offer_jd_10070240860330,佳能（Canon）EOS R50 微单半画幅相机 r50小巧便携 Vlog拍摄直播相机 4K短视频 学生微单相机 R50白色 RF-S18-45套机【日常家用】,ProductOffer,京东,微单相机,10070240860330,佳能（Canon）EOS R50 微单半画幅相机 r50小巧便携 Vlog拍摄直播相机 4K短视频 学生微单相机 R50白色 RF-S18-45套机【日常家用】 官方标配【京东多仓发~快可次日达】,5799,佳能（Canon）数码旗舰店,已售100万+,1000000,,https://item.jd.com/10070240860330.html,2026-06-06T07:20:34.773Z,EOS R50,RF-S 18-45mm F4.5-6.3 IS STM
offer_jd_100262353621,索尼（SONY）【618专享】ZV-E10K APS-C画幅微单相机 黑色机身+新16-50人像+55-210长焦超值双镜头套装,ProductOffer,京东,微单相机,100262353621,索尼（SONY）【618专享】ZV-E10K APS-C画幅微单相机 黑色机身+新16-50人像+55-210长焦超值双镜头套装,4653.9,SONY京东自营旗舰店,已售9万+,90000,双镜头套装微单相机热卖榜第5名,https://item.jd.com/100262353621.html,2026-06-06T07:20:34.773Z,ZV-E10,E PZ 16-50mm F3.5-5.6 OSS
offer_jd_10096485342065,佳能（Canon）r100微单相机 4K数码高清旅游vlog视频 R100学生入门级微单 R100 18-45 STM套机【日常热款】 官方标配【不含内存卡基础,ProductOffer,京东,微单相机,10096485342065,佳能（Canon）r100微单相机 4K数码高清旅游vlog视频 R100学生入门级微单 R100 18-45 STM套机【日常热款】 官方标配【不含内存卡基础配件 推荐购买套餐】,2589,佳能（Canon）影像旗舰店,已售100万+,1000000,主推微单相机热卖榜第10名,https://item.jd.com/10096485342065.html,2026-06-06T07:20:34.773Z,EOS R100,RF-S 18-45mm F4.5-6.3 IS STM
offer_jd_10183298551057,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 精准对焦 VLOG APS-C画幅 ZVE10/ZV-10 ZV-E10黑色单机 标配,ProductOffer,京东,微单相机,10183298551057,索尼（SONY）ZV-E10K 半画幅微单相机 美肤拍照 精准对焦 VLOG APS-C画幅 ZVE10/ZV-10 ZV-E10黑色单机 标配,3124,索尼（SONY）数码旗舰店,已售8000+,8000,纯机身入门级微单相机折扣榜第6名,https://item.jd.com/10183298551057.html,2026-06-06T07:20:34.773Z,ZV-E10,
offer_jd_10137496244596,富士（FUJIFILM）富士XT30三代 XT30III 三代入门微单数码相机 4KVlog摄影摄像机 X-T30III 复古黑（单机身） 官方标配（机身+肩带,ProductOffer,京东,微单相机,10137496244596,富士（FUJIFILM）富士XT30三代 XT30III 三代入门微单数码相机 4KVlog摄影摄像机 X-T30III 复古黑（单机身） 官方标配（机身+肩带+原装电池）,6049,甄选数码买手店,已售7000+,7000,,https://item.jd.com/10137496244596.html,2026-06-06T07:20:34.773Z,X-T30III,
offer_jd_100216074669,索尼（SONY）ZV-E10K微单相机 半画幅直播4K视频 Vlog美颜神器 侧翻液晶屏数码相机 新升级标准镜头,ProductOffer,京东,微单相机,100216074669,索尼（SONY）ZV-E10K微单相机 半画幅直播4K视频 Vlog美颜神器 侧翻液晶屏数码相机 新升级标准镜头,3498.3,索尼（SONY）影像京东自营专区,已售4000+,4000,单镜头套装微单相机好评榜第5名,https://item.jd.com/100216074669.html,2026-06-06T07:20:34.773Z,ZV-E10,
offer_jd_10097041537048,佳能（Canon）EOS R100 迷你微单 小巧轻便微单相机 Vlog拍摄日常记录 4K视频家用直播旅游r100照相机 学生微单 R100+RF-S18-45,ProductOffer,京东,微单相机,10097041537048,佳能（Canon）EOS R100 迷你微单 小巧轻便微单相机 Vlog拍摄日常记录 4K视频家用直播旅游r100照相机 学生微单 R100+RF-S18-45套机【日常家用】 官方标配【京东多仓发~,2589,佳能（Canon）数码旗舰店,已售50万+,500000,美颜拍摄微单相机热卖榜第7名,https://item.jd.com/10097041537048.html,2026-06-06T07:20:34.773Z,EOS R100,RF-S 18-45mm F4.5-6.3 IS STM
offer_jd_100207538577,索尼（SONY）ZV-E10K APS-C画幅微单相机 新升级标准镜头套装 白色 新套机镜头E PZ 16-50mm F3.5-5.6 OSS II,ProductOffer,京东,微单相机,100207538577,索尼（SONY）ZV-E10K APS-C画幅微单相机 新升级标准镜头套装 白色 新套机镜头E PZ 16-50mm F3.5-5.6 OSS II,3599.1,SONY京东自营旗舰店,已售9万+,90000,,https://item.jd.com/100207538577.html,2026-06-06T07:20:34.774Z,ZV-E10,E PZ 16-50mm F3.5-5.6 OSS
offer_jd_10039419624359,【佳能旗舰店】r100入门相机,ProductOffer,京东,微单相机,10039419624359,【佳能旗舰店】r100入门相机,2889,佳能旗舰店,已售100万+,1000000,,https://item.jd.com/10039419624359.html,2026-06-06T07:20:34.774Z,EOS R100,
offer_jd_10137496294268,富士（FUJIFILM）富士XT30三代 XT30III 三代入门微单数码相机 4KVlog摄影摄像机 X-T30III银+XC15-45mm变焦镜头 官方标配,ProductOffer,京东,微单相机,10137496294268,富士（FUJIFILM）富士XT30三代 XT30III 三代入门微单数码相机 4KVlog摄影摄像机 X-T30III银+XC15-45mm变焦镜头 官方标配（机身+肩带+原装电池）,7449,甄选数码买手店,已售7000+,7000,,https://item.jd.com/10137496294268.html,2026-06-06T07:20:34.774Z,X-T30III,XC 15-45mm F3.5-5.6 OIS PZ
offer_jd_10066504677198,佳能r50相机 入门级微单 旅行家用学生vlog视频 4k小巧便携 半画幅 记录 高清便携 R50数码照相机 EOSR50 18-45 STM黑色套机 送礼好物,ProductOffer,京东,微单相机,10066504677198,佳能r50相机 入门级微单 旅行家用学生vlog视频 4k小巧便携 半画幅 记录 高清便携 R50数码照相机 EOSR50 18-45 STM黑色套机 送礼好物 官方标配【不含内存...,5799,佳能（Canon）相机官方旗舰店,已售100万+,1000000,,https://item.jd.com/10066504677198.html,2026-06-06T07:20:34.774Z,EOS R50,RF-S 18-45mm F4.5-6.3 IS STM
